id,word,answer,hint,category
45,石橋を叩いて渡る,いしばしをたたいてわたる,用心の上にも用心をして物事を行うこと,ことわざ
46,雨降って地固まる,あめふってじかたまる,揉め事や困難なことがあった後で、かえって基礎がしっかりすること,ことわざ
47,二階から目薬,にかいからめぐすり,回りくどくて効果がないこと、また、もどかしいこと,ことわざ
48,馬の耳に念仏,うまのみみにねんぶつ,いくら意見を言っても少しも効き目がないこと,ことわざ
49,かわいい子には旅をさせよ,かわいいこにはたびをさせよ,本当に子供をかわいがるなら、甘やかさずに世の中の苦労を経験させるべきだということ,ことわざ
50,火のない所に煙は立たぬ,ひのないところにけむりはたたぬ,何らかの事実や原因がなければ、うわさも立たないということ,ことわざ
51,ローマは一日にして成らず,ろーまはいちにしてならず,偉大な事業は、短期間では成し遂げられず、長い間の努力の積み重ねが必要だということ,ことわざ
52,備えあれば憂いなし,そなえあればうれいなし,前もって準備をしておけば、いざという時にも心配がないということ,ことわざ
53,郷に入っては郷に従え,ごうにいってはごうにしたがえ,新しい環境や地域に入ったら、そこでの習慣やしきたりに従うべきだということ,ことわざ
54,捕らぬ狸の皮算用,とらぬたぬきのかわざんよう,まだ手に入っていないものを当てにして、計画を立てること,ことわざ
55,出る杭は打たれる,でるくいはうたれる,頭角を現す者や目立つ者は、とかく邪魔をされたり批判されたりするものだ,ことわざ
56,歯が立たない,はがたたない,相手が強すぎて、全く太刀打ちできない,慣用句
57,肩を落とす,かたをおとす,がっかりして元気をなくす,慣用句
58,腹が立つ,はらがたつ,怒る,慣用句
59,目を瞑る,めをつむる,見て見ぬふりをする。見ていながら気づかないふりをする,慣用句
60,鼻にかける,はなにかける,自慢する。得意になる,慣用句
61,耳を疑う,みみをうたがう,あまりに意外なことを聞いて、信じられない気持ちになる,慣用句
62,足元を見る,あしもとをみる,相手の弱点や窮状につけ込んで、不当な要求をしたり利益を得ようとしたりする,慣用句
63,手塩にかける,てしおにかける,自分で世話をして大切に育てる,慣用句
64,顔から火が出る,かおからひがでる,非常に恥ずかしい思いをすること,慣用句
65,頭が上がらない,あたまがあがらない,恩義や引け目を感じて、対等な立場になれない,慣用句
66,口裏を合わせる,くちうらをあわせる,互いに相談して、証言や言い訳を一致させる,慣用句
67,釘を刺す,くぎをさす,後で言い逃れができないように、前もって念を押しておく,慣用句
68,水を差す,みずをさす,順調に進んでいる物事や仲の良い関係を邪魔して、台無しにする,慣用句
69,背水の陣,はいすいのじん,一歩も退けない覚悟で、決死の覚悟で物事に当たること,故事成語
70,画竜点睛,がりょうてんせい,物事を完成させるための最も肝心な仕上げ。または、物事の最も重要な部分,故事成語
71,杞憂,きゆう,取り越し苦労。不必要な心配,故事成語
72,漁夫の利,ぎょふのり,両者が争っている間に、第三者が何もしないで利益を得ること,故事成語
73,登竜門,とうりゅうもん,立身出世のための難しい関門や、それを通過するための試練,故事成語
74,塞翁が馬,さいおうがうま,人生の幸不幸は予測できないもので、何が幸いし何が災いするかはわからないということ,故事成語
75,鼎の軽重を問う,かなえのけいちょうをとう,権威や実力を疑い、その存続を危うくする,故事成語
76,助長,じょちょう,役に立つと思って余計な世話を焼いたために、かえって悪い結果を招くこと,故事成語
77,他山の石,たざんのいし,他人のつまらない言動でも、自分の人格や知識を磨く助けとすることができるということ,故事成語
78,捲土重来,けんどちょうらい,一度敗れた者が、再び勢いを盛り返してくること,故事成語
79,電光石火,でんこうせっか,雷の光や石がこすれ合う火花のように、非常に速いこと,故事成語
80,五里霧中,ごりむちゅう,物事の方向や見込みが全くつかめず、どうしてよいか分からないこと,故事成語
81,二度あることは三度ある,にあることはさんどある,一度あったことはまた起こる可能性が高いということ,ことわざ
82,泣き面に蜂,なきつらにはち,悪いことの上にさらに悪いことが重なること,ことわざ
83,渡る世間に鬼はなし,わたるせけんにおにはなし,世の中には無情な人ばかりではなく、親切な人もいるということ,ことわざ
84,焼け石に水,やけいしにみず,わずかな努力や援助では、大きな問題には何の効力もないこと,ことわざ
85,後の祭り,あとのまつり,時期を逃してしまい、手遅れになってしまったこと,ことわざ
86,糠喜び,ぬかよろこび,一時的に喜んだものの、結果的に無駄に終わった喜び,ことわざ
87,帯に短したすきに長し,おびにみじかしたすきにながし,中途半端で、どちらの用途にも役に立たないこと,ことわざ
88,坊主憎けりゃ袈裟まで憎い,ぼうずにくけりゃけさまでにくい,嫌いな対象に関わるものすべてが嫌になること,ことわざ
89,寄らば大樹の陰,よらばたいじゅのかげ,頼るなら勢力のある人や組織に頼るのが安全であること,ことわざ
90,負けるが勝ち,まけるがかっち,一時的に争いに負けても、長期的には得をすること,ことわざ
91,月とすっぽん,つきとすっぽん,二つのものがかけ離れていて、比較にならないこと,ことわざ
92,河童の川流れ,かっぱのかわながれ,専門家や名人でも、時には失敗することがあるということ,ことわざ
93,骨折り損のくたびれ儲け,ほねおりぞんのくたびれもうけ,苦労しただけで何も得られず、疲れただけであること,ことわざ
94,蒔かぬ種は生えぬ,まかぬたねははえぬ,努力しなければ、良い結果は得られないということ,ことわざ
95,善は急げ,ぜんはいそげ,良いことは思い立ったらすぐに行うべきだということ,ことわざ
96,肩肘張る,かたひじはる,無理に意地を張ったり、気負い立ったりする様子,慣用句
97,気を揉む,きをもむ,心配してあれこれと心を悩ませること,慣用句
98,息をのむ,いきをのむ,驚きや感動で一瞬息を止めること,慣用句
99,舌を巻く,したをまく,あまりの見事さや巧みさに驚き感心すること,慣用句
100,眉をひそめる,まゆをひそめる,心配事や不快なことのために顔をしかめること,慣用句
101,肝を冷やす,きもをひやす,非常に驚いたり、恐ろしい思いをしたりすること,慣用句
102,胸を借りる,むねをかりる,稽古などで実力者に相手をしてもらうこと,慣用句
103,袖にする,そでにする,（人を）冷遇したり、関係を絶ったりすること,慣用句
104,膝を交える,ひざをまじえる,親しく向かい合って話すこと,慣用句
105,骨を折る,ほねをおる,苦労して努力すること,慣用句
106,手につかない,てにつかない,心配事などで、他の事に集中できないこと,慣用句
107,目を凝らす,めをこらす,よく見ようとして目を集中させること,慣用句
108,首をひねる,くびをひねる,疑問に思ったり、納得がいかなかったりして考える様子,慣用句
109,腹を探る,はらをさぐる,相手の考えや本心を探ること,慣用句
110,鶏口牛後,けいこうぎゅうご,大きな組織の末端よりも、小さな組織のトップとなる方が良いこと,故事成語
111,推敲,すいこう,詩や文章を何度も練り直し、より良いものにすること,故事成語
112,蛇足,だそく,不必要なものや余計な行為,故事成語
113,四面楚歌,しめんそか,周囲を敵に囲まれ、孤立無援の状態,故事成語
114,臥薪嘗胆,がしんしょうたん,目的を果たすため、苦労に耐え、復讐の機会を待つこと,故事成語
115,蛍雪の功,けいせつのこう,苦労して学問に励んだ結果、成功を収めること,故事成語
116,一を聞いて十を知る,いちをきいてじゅうをしる,わずかなことから物事の全体を理解する賢さ,故事成語
117,虎の威を借る狐,とらのいをかるきつね,権力のある者の権勢を借りて威張ること,故事成語
118,雀百まで踊り忘れず,すずめひゃくまでおどりわすれず,幼いころからの習慣や性質は、年をとっても変わらないこと,ことわざ
119,転ばぬ先の杖,ころばぬさきのつえ,失敗しないように、前もって準備をしておくこと,ことわざ
120,習うより慣れろ,ならうよりなれろ,物事は人から教わるよりも、実際にやってみて慣れる方が身につくということ,ことわざ
121,継続は力なり,けいぞくはちからなり,何事も続けることによって、それが力となり成功につながる,ことわざ
122,光陰矢のごとし,こういんやのごとし,月日の経つのが非常に早いこと,ことわざ
123,良薬は口に苦し,りょうやくはくちににがし,自分のためになる忠告は、聞き入れにくいものだということ,ことわざ
124,餅は餅屋,もちはもちや,専門のことは専門家が一番だということ,ことわざ
125,虎穴に入らずんば虎子を得ず,こけつにいらずんばこじをえず,危険を冒さなければ、大きな成功は得られないこと,ことわざ
126,風が吹けば桶屋が儲かる,かぜがふけばおけやがもうかる,意外なところにとばっちりや利益が及ぶこと,ことわざ
127,三つ子の魂百まで,みつごのたましいひゃくまで,幼い時に身についた性質は一生変わらないということ,ことわざ
128,七転び八起き,ななころびやおき,何度失敗しても、屈することなく立ち上がって努力すること,ことわざ
129,雨垂れ石を穿つ,あまだれいしをうがつ,わずかな力でも、根気よく続ければやがて大きなことを成し遂げられるということ,ことわざ
130,足が棒になる,あしがぼうになる,非常に疲れて、足がこわばって動かなくなる,慣用句
131,息が合う,いきがあう,動作や気持ちがぴったりと一致する,慣用句
132,大目に見る,おおめにみる,失敗や欠点などがあっても、厳しく咎めずに寛大に扱う,慣用句
133,お茶を濁す,おちゃをにごす,その場をごまかしたり、適当にあしらったりする,慣用句
134,顔が広い,かおがひろい,交際範囲が広く、多くの知人がいる,慣用句
135,肩の荷が下りる,かたのにがおりる,責任や心配事から解放され、ほっとする,慣用句
136,気が置けない,きがおけない,遠慮がいらず、気軽に付き合える,慣用句
137,腰を据える,こしをすえる,落ち着いて一つのことにじっくりと取り組む,慣用句
138,高をくくる,たかをくくる,相手や物事をたいしたことはないと見くびる,慣用句
139,手のひらを返す,てのひらをかえす,態度を急変させる,慣用句
140,とんぼ返り,とんぼがえり,行ってすぐに帰ってくること,慣用句
141,のどから手が出る,のどからてがでる,非常に強く欲しがるさま,慣用句
142,拍車をかける,はくしゃをかける,物事の進行を一層速める,慣用句
143,馬耳東風,ばじとうふう,人の意見や批評を少しも心に留めず聞き流すこと,故事成語
144,守株,しゅしゅ,古い習慣にとらわれて、時代の変化に対応できないこと,故事成語
145,朝三暮四,ちょうさんぼし,目先の違いにこだわり、結果が同じであることに気づかないこと,故事成語
146,逆鱗に触れる,げきりんにふれる,天子や目上の人を激しく怒らせること,故事成語
147,完璧,かんぺき,欠点や不足が全くないこと,故事成語
148,五十歩百歩,ごじっぽひゃっぽ,程度の差はあっても本質は同じであること,故事成語
149,呉越同舟,ごえつどうしゅう,仲の悪い者同士が、同じ場所や境遇にいること,故事成語
150,風前の灯火,ふうぜんのともしび,今にも消えそうな危険な状態,故事成語
151,刎頚の交わり,ふんけいのまじわり,首を斬られても悔いはないと思えるほど、非常に親密な交際,故事成語
152,破竹の勢い,はちくのいきおい,止められないほど強い勢い,故事成語
153,虻蜂取らず,あぶはちとらず,欲張って二つのものを同時に得ようとすると、結局どちらも手に入れられないこと,ことわざ
154,絵に描いた餅,えにかいたもち,どんなに立派でも、実際には役に立たないもの,ことわざ
155,壁に耳あり障子に目あり,かべにみみありしょうじにめあり,どこで誰が聞いているかわからないから、秘密は漏れやすいということ,ことわざ
156,聞くは一時の恥聞かぬは一生の恥,きくはいっときのはじきかぬはいっしょうのはじ,知らないことを聞くのは一時的に恥ずかしいが、聞かずにいると一生後悔することになる,ことわざ
157,月夜に提灯,つきよにちょうちん,不必要なもの、無駄なもののたとえ,ことわざ
158,豆腐にかすがい,とうふにかすがい,何の効き目もないこと,ことわざ
159,仏の顔も三度まで,ほとけのかおもさんどまで,どんなに温厚な人でも、たびたび無礼を働けば怒り出すこと,ことわざ
160,目から鼻へ抜ける,めからはなへぬける,物事の理解や対処が非常に早い様子,ことわざ
161,身から出た錆,みからでたさび,自分の行いが原因で悪い結果を招くこと,ことわざ
162,持つべきものは友,もつべきものはとも,困った時に助けてくれる友人の大切さ,ことわざ
163,足をすくわれる,あしをすくわれる,不意に失敗させられる、弱点をつかれて損をする,慣用句
164,色を失う,いろをうしなう,驚きや恐ろしさで顔色が変わる,慣用句
165,うだつが上がらない,うだつがあがらない,なかなか出世しない、成功しない,慣用句
166,お鉢が回ってくる,おはちがまわってくる,自分の番が来る、責任や役割が回ってくる,慣用句
167,気を利かせる,きをきかせる,その場の状況を察して、適切に配慮する,慣用句
168,口をそろえる,くちをそろえる,何人もの人が同じことを言う,慣用句
169,尻に火がつく,しりにひがつく,差し迫った事態になり、慌てる,慣用句
170,雀の涙,すずめのなみだ,ほんのわずかな量のこと,慣用句
171,袖の下,そでのした,賄賂のこと,慣用句
172,高嶺の花,たかねのはな,憧れるが、とても手に入らないもの,慣用句
173,棚に上げる,たなにあげる,自分のことは棚に上げて、他人のことを非難する,慣用句
174,茶々を入れる,ちゃちゃをいれる,冗談やひやかしを言って邪魔をする,慣用句
175,つむじを曲げる,つむじをまげる,機嫌が悪くなり、すねる,慣用句
176,手ぐすね引く,てぐすねひく,十分に準備をして、機会を待つ,慣用句
177,独り合点,ひとりぎてん,他人の意向も聞かず、自分だけで納得すること,慣用句
178,のれんに腕押し,のれんにうでおし,張り合いがなく、手ごたえがないこと,慣用句
179,はがゆい思いをする,はがゆいおもいをする,思い通りにならず、いらいらする,慣用句
180,鼻を明かす,はなをあかす,相手を出し抜いて驚かせる,慣用句
181,ふたごころを持つ,ふたごころをもつ,裏切る気持ちを持つ,慣用句
182,へそを曲げる,へそをまげる,機嫌を損ねて、意地になる,慣用句
183,埒が明かない,らちがあかない,物事の決着がつかず、進展しない,慣用句
184,話に花が咲く,はなしにはながさく,話が弾んで盛り上がる,慣用句
185,気を抜く,きをぬく,注意を怠る、集中力をなくす,慣用句
186,口を挟む,くちをはさむ,人の話に割り込む,慣用句
187,腰を落ち着ける,こしをおちつける,落ち着いて、しばらくその場にとどまる,慣用句
188,手はずを整える,てはずをととのえる,物事を進める準備をする,慣用句
189,気が散る,きがちる,集中力が途切れる,慣用句
190,朝飯前,あさめしまえ,たやすいこと、わけなくできること,ことわざ
191,痘痕も靨,あばたもえくぼ,ひいき目で見れば、欠点までもが魅力的に見えること,ことわざ
192,生兵法は大怪我のもと,なまびょうほうはおおけがのもと,中途半端な知識や技術はかえって危険である,ことわざ
193,氏より育ち,うじよりそだち,家柄や血筋よりも、育ちや教育の方が人間形成に重要であること,ことわざ
194,海老で鯛を釣る,えびでたいをつる,わずかな元手で大きな利益を得ること,ことわざ
195,岡目八目,おかめはちもく,当事者よりも、はたから見ている者の方が物事の全体をよく見通せること,ことわざ
196,鬼の居ぬ間に洗濯,おにのいぬまにせんたく,怖い人やうるさい人がいない間に、思う存分くつろぐこと,ことわざ
197,枯れ木も山の賑わい,かれきもやまのにぎわい,つまらないものでも、ないよりはましであること,ことわざ
198,木を見て森を見ず,きをみてもりをみず,細部にこだわりすぎて、全体を見失ってしまうこと,ことわざ
199,臭いものには蓋,くさいものにはふた,世間に知られたくない不都合なことを隠そうとすること,ことわざ
200,紺屋の白袴,こうやのしろばかま,他人のために忙しく働き、自分のことにまで手が回らないこと,ことわざ
201,触らぬ神に祟りなし,さわらぬかみにはたたりなし,余計なことに手を出さなければ、災難に遭うことはない,ことわざ
202,人事を尽くして天命を待つ,じんじをつくしててんめいをまつ,人間としてできる限りの努力をした後は、結果を天の意思に任せること,ことわざ
203,住めば都,すめばみやこ,どんな所でも、住み慣れてしまえばそこが一番良い場所だと思えること,ことわざ
204,船頭多くして船山に上る,せんどうおおくしてふねやまにのぼる,指図する人が多すぎて、物事がかえって混乱してうまくいかないこと,ことわざ
205,袖振り合うも多生の縁,そでふりあうもたしょうのえん,見知らぬ人と道で袖が触れ合うような些細な出来事も、前世からの深い因縁によるものだということ,ことわざ
206,飛んで火に入る夏の虫,とんでひにいるなつのむし,自分で災難に飛び込んでいくこと,ことわざ
207,飼い犬に手を噛まれる,かいいぬにてをかまれる,恩を仇で返されること,ことわざ
208,釈迦に説法,しゃかにせっぽう,よく知っている人に、不必要なことを教えること,ことわざ
209,馬子にも衣装,まごにもいしょう,どんなつまらない者でも、身なりを整えれば立派に見えること,ことわざ
210,亀の甲より年の功,かめのこうよりとしのこう,長年の経験が何よりも役に立つこと,ことわざ
211,論より証拠,ろんよりしょうこ,議論するよりも、証拠を示す方が確実であること,ことわざ
212,二兎を追う者は一兎をも得ず,にとをおうものはいっとをもえず,二つの目標を同時に追いかけると、どちらも達成できないこと,ことわざ
213,棚からぼたもち,たなからぼたもち,思いがけない幸運が舞い込むこと,ことわざ
214,果報は寝て待て,かほうはねてまて,幸運は焦らず、時が来るのを待つのが良いということ,ことわざ
215,仏作って魂入れず,ほとけつくってたましいいれず,形は整っているが、肝心な部分が欠けていること,ことわざ
216,一寸の虫にも五分の魂,いっすんのむしにもごぶのたましい,どんなに小さい者でも、それなりの意地や気概を持っていること,ことわざ
217,地獄の沙汰も金次第,じごくのさたもかねしだい,世の中の物事は、金銭次第でどうにでもなるということ,ことわざ
218,芸は身を助ける,げいはみをたすける,身につけた技術や才能は、いざという時に役立つこと,ことわざ
219,渡りに船,わたりにふね,困っている時に、都合の良い助けが現れること,ことわざ
220,三度目の正直,さんどめのしょうじき,二度失敗しても、三度目には成功するという期待,ことわざ
221,眉唾物,まゆつばもの,真偽の疑わしいもの、信用できないもの,慣用句
222,肩を持つ,かたをもつ,ひいきする、味方をする,慣用句
223,目を光らせる,めをひからせる,厳しく監視する、注意を払う,慣用句
224,水を向ける,みずをむける,それとなく相手の関心を引こうと働きかける,慣用句
225,尻馬に乗る,しりうまにのる,考えもなく他人の真似をすること,慣用句
226,揚げ足を取る,あげあしをとる,相手の言葉尻をとらえて、からかう、非難する,慣用句
227,茶番劇,ちゃばんげき,ばかばかしい見え透いた芝居,慣用句
228,絵空事,えそらごと,現実離れした空想の話、実現不可能なこと,慣用句
229,お茶の子さいさい,おちゃのこさいさい,物事が非常に簡単であること,慣用句
230,肝に銘じる,きもにめいじる,心に深く刻みつけて忘れないようにする,慣用句
231,口車に乗る,くちぐるまにのる,相手の巧みな話術にだまされる,慣用句
232,逆立ちしても,さかだちしても,どんなに努力しても不可能なこと,慣用句
233,鯖を読む,さばをよむ,数をごまかすこと,慣用句
234,塩梅が良い,あんばいがよい,ちょうど良い加減であること,慣用句
235,天を仰ぐ,てんをあおぐ,困り果てたり、感動したりして空を見上げること,慣用句
236,目を盗む,めをぬすむ,人の見ていないすきに行動すること,慣用句
237,尻を叩く,しりをたたく,怠けている人を励まして働かせること,慣用句
238,胸を躍らせる,むねをおどらせる,期待や喜びで心がわくわくする様子,慣用句
239,腹を決める,はらをきめる,覚悟を決めること,慣用句
240,舌の根も乾かぬうちに,したのねもかわかぬうちに,言い終わって間もないうちに,慣用句
241,肩で風を切る,かたでかぜをきる,得意げに大股で歩くこと,慣用句
242,顔に泥を塗る,かおにどろをぬる,人の面目を潰すこと,慣用句
243,袖を通す,そでをとおす,衣服を着ること,慣用句
244,足を洗う,あしをあらう,悪事や良くない習慣をやめること,慣用句
245,手前味噌,てまえみそ,自分のことを自分で褒めること,慣用句
246,肩をすくめる,かたをすくめる,困惑や諦め、無力感を表現する仕草,慣用句
247,血眼になる,ちまなこになる,必死になって物事を探したり熱中したりする様子,慣用句
248,二の舞を演じる,にのまいをえんじる,前の人の失敗を繰り返すこと,慣用句
249,腰を抜かす,こしをぬかす,驚きや恐ろしさで座り込んでしまうこと,慣用句
250,歯に衣着せぬ,はにきぬきせぬ,思ったことを隠さず率直に言うこと,慣用句
251,目星をつける,めぼしをつける,見当をつける、目標を定めること,慣用句
252,鼻を折る,はなをおる,得意になっている相手の鼻っ柱をくじくこと,慣用句
253,膝を突き合わせる,ひざをつきあわせる,向かい合って話し合うこと,慣用句
254,水泡に帰す,すいほうにきす,努力や計画が無駄になること,慣用句
255,気を配る,きをくばる,注意を払う、心配りをする,慣用句
256,根に持つ,ねにもつ,恨みをいつまでも忘れない,慣用句
257,胸に一物,むねにいちもつ,心中に隠された考えや企みがあること,慣用句
258,手も足も出ない,てもあしもでない,どうすることもできないこと,慣用句
259,尻に敷く,しりにしく,妻が夫を思い通りに操ること,慣用句
260,憎まれっ子世にはばかる,にくまれっこよにはばかる,人から嫌われるような者が、かえって世間で幅を利かせるものだ,ことわざ
261,悪銭身につかず,あくせんみにつかず,不正な手段で得た金はすぐになくなる,ことわざ
262,火に油を注ぐ,ひにあぶらをそそぐ,勢いのあるものに、さらに勢いを加えること,ことわざ
263,後足で砂をかける,あとあしですなをかける,去り際に、さらに迷惑な行為をすること,ことわざ
264,羹に懲りて膾を吹く,あつものにこりてなますをふく,一度の失敗に懲りて、必要以上に用心すること,ことわざ
265,危ない橋を渡る,あぶないはしをわたる,危険なことを敢えて行うこと,慣用句
266,袖を引く,そでをひく,相手に注意を促したり、何かを頼んだりするために、袖を掴む仕草,慣用句
267,舌を出す,したをだす,ふざけて、あるいはからかって舌を見せること,慣用句
268,我慢の限界,がまんのげんかい,もうこれ以上耐えられないという状態,慣用句
269,心ここにあらず,こころここにあらず,心が他のことに奪われて、目の前のことに集中できない状態,慣用句
270,青菜に塩,あおなにしお,元気をなくしてしょげている様子,慣用句
271,足がかり,あしがかり,物事を始めるきっかけや手がかり,慣用句
272,頭を抱える,あたまをかかえる,どうしたらよいか分からず困り果てる,慣用句
273,腹の虫がおさまらない,はらのむしがおさまらない,怒りがなかなか静まらない,慣用句
274,月下氷人,げっかひょうじん,男女の縁を取り持つ人,故事成語
275,出る所へ出れば引っ込みがつかぬ,でるところへでればひっこみがつかぬ,一度表沙汰になれば、後には引けなくなる,ことわざ
276,月夜の晩に鎌を研ぐ,つきよのばんにかまをとぐ,無駄な準備をすること、また準備はするが実行に移さないこと,ことわざ
277,泣く子と地頭には勝てぬ,なくことじとうにはかてぬ,道理の通じない相手には、逆らわない方が賢明だということ,ことわざ
278,仏心あれば水も甘し,ぶっしんあればみずもあまし,慈悲深い心があれば、どんな事にも満足できること,ことわざ
279,藪をつついて蛇を出す,やぶをつついてへびをだす,余計なことをして災いを招くこと,ことわざ
280,二度手間を踏む,にどでまをふむ,一度で済むはずのことを、手際が悪くて二度手間をかけること,ことわざ
281,寝た子を起こすな,ねたこをおこすな,一度おさまった揉め事などを、わざわざ蒸し返すべきではないこと,ことわざ
282,味噌も糞も一緒,みそもくそもいっしょ,良いものと悪いもの、価値のあるものとないものを区別せず、同じに扱うこと,ことわざ
283,隣の客はよく柿食う客だ,となりのきゃくはよくかきくうきゃくだ,口調の似た言葉が次々と続くこと。早口言葉の一種,ことわざ
284,餅の論,もちのろん,言うまでもない、当然のことだ,ことわざ
285,相槌を打つ,あいづちをうつ,相手の話に、うなずいたり言葉をはさんだりして、聞いていることを示す,慣用句
286,頭を悩ます,あたまをなやます,解決が難しくて、どうしたらいいかと懸命に考える,慣用句
287,腕によりをかける,うでによりをかける,自分の持てる最高の技量を発揮しようと張り切る,慣用句
288,我に返る,われにかえる,夢中になっていた状態から、正気を取り戻す,慣用句
289,気を許す,きをゆるす,警戒心を解いて安心する,慣用句
290,口を割る,くちをわる,秘密を打ち明ける、白状する,慣用句
291,尻を拭う,しりをぬぐう,他人の失敗の始末をつける,慣用句
292,腑に落ちない,ふにおちない,納得できない、理解できない,慣用句
293,間が持たない,まがもたない,会話や行動が途切れて気まずい状態になる,慣用句
294,身が入る,みがはいる,物事に熱心に取り組む,慣用句
295,目を奪われる,めをうばわれる,美しさや素晴らしさに心を奪われて見入る,慣用句
296,足が速い,あしがはやい,売れ行きが良い。転じて腐りやすい、走るのが速い,慣用句
297,腕が鳴る,うでがなる,自分の腕前を発揮したくてうずうずする,慣用句
298,顔に書いてある,かおにかいてある,考えていることや感情が表情に出ている,慣用句
299,気が気でない,きがきでない,心配で落ち着かない,慣用句
300,口が堅い,くちがかたい,秘密などを他人に漏らさない,慣用句
301,血も涙もない,ちもなみだもない,情け容赦がない,慣用句
302,首を縦に振る,くびをたてにふる,承諾する、同意する,慣用句
303,腹に据えかねる,はらにすえかねる,怒りを抑えきれない,慣用句
304,水と油,みずとあぶら,相性が悪く、互いに打ち解けない,慣用句
305,顔を立てる,かおをたてる,相手の面目を保つように計らう,慣用句
306,息を殺す,いきをころす,物音を立てないように、静かにしている,慣用句
307,気を張る,きをはる,気持ちを引き締めて緊張する,慣用句
308,手を焼く,てをやく,扱いに困る、持て余す,慣用句
309,気を引く,きをひく,相手の注意を自分に向けさせる,慣用句
310,目を通す,めをとおす,ざっと見て内容を確認する,慣用句
311,眉に唾をつける,まゆにつばをつける,だまされないように用心する,慣用句
312,目から鱗が落ちる,めからうろこがおちる,あることをきっかけに、それまでわからなかったことが急にはっきりと理解できるようになる,慣用句
